cnn,st_name,st_type,cnntext,the_geom
51126000,LIEBIG,ST,51126000,POINT (-122.45527873980747 37.707912301522924)
33704000,RHINE,ST,33704000,POINT (-122.46231335632307 37.70798826011384)
25323000,POLLARD,PL,25323000,POINT (-122.40642965120786 37.79887233945914)
27999000,44TH,AVE,27999000,POINT (-122.50522585724966 37.781076643928415)
21174000,HARRISON,ST,21174000,POINT (-122.41159284436014 37.749436231246975)
34112000,14TH TI,ST,34112000,POINT (-122.37018720194662 37.83005546309172)
50001000,PERRY,ST,50001000,POINT (-122.39539705869788 37.78325063459242)
54132000,STOREY,AVE,54132000,POINT (-122.47524911534231 37.80433848517235)
54213000,WEST CRYSTAL COVE,TER,54213000,POINT (-122.39509712670409 37.71205424184766)
24617000,STEVENSON,ST,24617000,POINT (-122.40228988364542 37.787617864888354)
23569000,18TH,ST,23569000,POINT (-122.38779479569679 37.76310721722426)
24590000,03RD,ST,24590000,POINT (-122.40046848441116 37.78503028488837)
25203000,LARKIN,ST,25203000,POINT (-122.41855931508533 37.78843234345362)
23607000,SPEAR,ST,23607000,POINT (-122.39097101768476 37.79006980047258)
24944000,SHANNON,ST,24944000,POINT (-122.41214750671492 37.78589292808913)
22274000,CONGO,ST,22274000,POINT (-122.44200527409873 37.73381158799174)
23742000,DE HARO,ST,23742000,POINT (-122.40120000669673 37.761011749113784)
26538000,FRANKLIN,ST,26538000,POINT (-122.4243405167779 37.79196536918904)
26132000,CROWN,CT,26132000,POINT (-122.44694244404509 37.75722892157251)
51247000,RODRIGUEZ,ST,51247000,POINT (-122.4542375508623 37.79623079057882)
20822000,JERROLD,AVE,20822000,POINT (-122.40269801227845 37.74633409357118)
27027000,MASON,ST,27027000,POINT (-122.44832116155011 37.804993825150234)
50751000,NEWHALL,ST,50751000,POINT (-122.38248469050215 37.74192362480782)
20425000,VELASCO,AVE,20425000,POINT (-122.41934779781556 37.709946903150815)
23479000,45TH,AVE,23479000,POINT (-122.50368064048851 37.74369024987053)
24210000,GORDON,ST,24210000,POINT (-122.40968304106413 37.77283775740215)
54240000,AVOCET,WAY,54240000,POINT (-122.36848997464946 37.72881777449382)
26548000,PACIFIC,AVE,26548000,POINT (-122.42322714729879 37.79481735532188)
25719000,HANCOCK,ST,25719000,POINT (-122.43049703264008 37.76035730499404)
32975000,CORBETT,AVE,32975000,POINT (-122.44361010450841 37.75231186061758)
25778000,22ND,ST,25778000,POINT (-122.43877994223057 37.75422857318984)
24091000,26TH,ST,24091000,POINT (-122.41978060060013 37.74894134725465)
26873000,SCOTT,ST,26873000,POINT (-122.44042174462861 37.79646144252417)
21246000,CORTLAND,AVE,21246000,POINT (-122.4185843763688 37.73929727999657)
21419000,CURTIS,ST,21419000,POINT (-122.43756481149904 37.71011366585161)
22556000,19TH,AVE,22556000,POINT (-122.47257245417897 37.717173868891436)
32856000,JOHN F KENNEDY,DR,32856000,POINT (-122.45397952246455 37.77142839545363)
51336000,ARMISTEAD,RD,51336000,POINT (-122.47112429603668 37.804642070024386)
21714000,FRANCE,AVE,21714000,POINT (-122.4343544992229 37.71812520535904)
23537000,TENNESSEE,ST,23537000,POINT (-122.38862907224924 37.75150216404466)
22386000,RIDGEWOOD,AVE,22386000,POINT (-122.45342500482997 37.7330396174554)
30038000,JOHN MAHER,ST,30038000,POINT (-122.40152061718778 37.800919241062594)
21542000,HURON,AVE,21542000,POINT (-122.44941575777995 37.71218224461966)
27299000,ANZA,ST,27299000,POINT (-122.47056761663973 37.77880061148806)
27100000,NORIEGA,ST,27100000,POINT (-122.46672989763066 37.75466792311693)
51971000,SELBY,ST,51971000,POINT (-122.39293127975526 37.74738391980934)
26102000,DIXIE,ALY,26102000,POINT (-122.44247641063822 37.75371897300667)
25907000,OCTAVIA,ST,25907000,POINT (-122.42401188818852 37.77340397352188)
25066000,BROADWAY,,25066000,POINT (-122.40968904401227 37.79749315210121)
27702000,LAWTON,ST,27702000,POINT (-122.493877442171 37.75721129897345)
26833000,BUSH,ST,26833000,POINT (-122.44501985738711 37.78554866866337)
23265000,SANTIAGO,ST,23265000,POINT (-122.48225063879997 37.744634180290326)
